iter	Passed	Remaining
399	107035	26758
400	107285	26486
401	107566	26222
402	107914	25974
403	108198	25710
404	108517	25454
405	108796	25189
406	109041	24916
407	109302	24646
408	109565	24377
409	109893	24122
410	110286	23881
411	110654	23634
412	110945	23370
413	111231	23106
414	111508	22839
415	111782	22571
416	112075	22307
417	112337	22037
418	112596	21766
419	112849	21495
420	113101	21223
421	113389	20958
422	113655	20689
423	113919	20419
424	114155	20145
425	114412	19874
426	114671	19604
427	114941	19335
428	115177	19062
429	115441	18792
430	115718	18525
431	115985	18257
432	116289	17993
433	116569	17727
434	116820	17455
435	117067	17184
436	117348	16917
437	117562	16641
438	117803	16369
439	118050	16097
440	118337	15831
441	118574	15559
442	118831	15289
443	119118	15023
444	119422	14760
445	119673	14489
446	120008	14229
447	120349	13969
448	120587	13697
449	120842	13426
450	121214	13169
451	121501	12902
452	121760	12633
453	122029	12364
454	122302	12095
455	122583	11828
456	122835	11557
457	123083	11287
458	123359	11019
459	123630	10750
460	123911	10482
461	124189	10214
462	124497	9949
463	124790	9682
464	125089	9415
465	125358	9146
466	125638	8878
467	125953	8612
468	126274	8346
469	126572	8079
470	126800	7807
471	127117	7540
472	127456	7275
473	127693	7004
474	127946	6734
475	128219	6464
476	128544	6198
477	128881	5931
478	129214	5664
479	129456	5394
480	129746	5125
481	130029	4855
482	130307	4586
483	130631	4318
484	130990	4051
485	131266	3781
486	131538	3511
487	131812	3241
488	132212	2974
489	132483	2703
490	132753	2433
491	133050	2163
492	133301	1892
493	133574	1622
494	133849	1352
495	134118	1081
496	134373	811
497	134647	540
498	134933	270
499	135183	0
