iter	MultiClass
0	0.8246649961
1	0.6613350221
2	0.551006338
3	0.4720166401
4	0.4127746977
5	0.3686919996
6	0.2966453067
7	0.2546607533
8	0.2233721309
9	0.1981243024
10	0.178074211
11	0.1617379587
12	0.1497269233
13	0.1387634687
14	0.1311584161
15	0.1234046616
16	0.1177738111
17	0.1128626209
18	0.1089454112
19	0.1055893593
20	0.1036244339
21	0.1010238188
22	0.09891241216
23	0.09732250322
24	0.09650369448
25	0.09568320572
26	0.09449654764
27	0.09405265439
28	0.09324028434
29	0.09274065526
30	0.09189765594
31	0.09167794096
32	0.09157466901
33	0.0912932849
34	0.09114840826
35	0.09083971447
36	0.09034292643
37	0.09002635064
38	0.08982590683
39	0.08964190411
40	0.08941998368
41	0.08922332056
42	0.08894538037
43	0.08872482197
44	0.08867423459
45	0.08853244958
46	0.08837450424
47	0.08827115917
48	0.08816266478
49	0.08801228056
50	0.08793994564
51	0.08785084711
52	0.08780789375
53	0.08761419295
54	0.08756557636
55	0.08753419713
56	0.08752916055
57	0.08748105304
58	0.08725808997
59	0.08722049585
60	0.08710382609
61	0.08705333231
62	0.08698012709
63	0.08688627601
64	0.08685113757
65	0.08683142603
66	0.08679420837
67	0.08675394683
68	0.08667365819
69	0.0866231147
70	0.08652971919
71	0.08650783668
72	0.08641784134
73	0.08639247399
74	0.08635718457
75	0.08629508404
76	0.0862471165
77	0.08621717657
78	0.08617723752
79	0.08614794334
80	0.08610935523
81	0.08610071598
82	0.08608235063
83	0.08601958002
84	0.08593692671
85	0.08591509921
86	0.08587981966
87	0.08583159035
88	0.08582450379
89	0.08578732201
90	0.08577557645
91	0.08573951777
92	0.08568647138
93	0.08565106848
94	0.08559570282
95	0.08552089229
96	0.08539663638
97	0.08534961342
98	0.08526374033
99	0.08523264611
100	0.08516229903
101	0.08509323776
102	0.08503072014
103	0.08499985355
104	0.08497874334
105	0.08494645277
106	0.08489184306
107	0.08485703834
108	0.08483447289
109	0.08480020222
110	0.08478613036
111	0.08472532442
112	0.08470948101
113	0.08465069024
114	0.08463344544
115	0.08458133134
116	0.08454896069
117	0.08447969766
118	0.0844471179
119	0.08437490726
120	0.0842916009
121	0.08426588279
122	0.08424044278
123	0.08417982728
124	0.08417271035
125	0.08411498407
126	0.08410156325
127	0.08408955093
128	0.08407611994
129	0.08405210315
130	0.08398164811
131	0.08395747628
132	0.08390829815
133	0.08386677292
134	0.08385317063
135	0.08380468395
136	0.08379218361
137	0.0837331866
138	0.08370914783
139	0.08367715051
140	0.08362445728
141	0.08360632568
142	0.08358820638
143	0.08356492137
144	0.08351332193
145	0.08347766428
146	0.08346746346
147	0.08276199688
148	0.08251311456
149	0.08248493532
150	0.08246002338
151	0.08244381283
152	0.08223672342
153	0.08221286333
154	0.08213283068
155	0.08211111284
156	0.08205813475
157	0.08198956734
158	0.08196074687
159	0.08187932076
160	0.0818595249
161	0.08169710868
162	0.08168844424
163	0.08165602554
164	0.08156546858
165	0.08153112491
166	0.08151741945
167	0.08149565075
168	0.08148758101
169	0.08138824458
170	0.08134092001
171	0.08132375707
172	0.08130852723
173	0.08129564295
174	0.08128790426
175	0.0812307314
176	0.08119257325
177	0.08117854533
178	0.08115125361
179	0.08111000684
180	0.08106964219
181	0.08097959023
182	0.08096044152
183	0.08094779343
184	0.08092068812
185	0.08089595974
186	0.08085966811
187	0.0807748858
188	0.08075868312
189	0.08073459015
190	0.08068089189
191	0.08062696674
192	0.0805852038
193	0.08054435839
194	0.08053159113
195	0.08050772207
196	0.08047709665
197	0.08045828396
198	0.08040141092
199	0.08038804521
200	0.08037466549
201	0.08034537713
202	0.08029356868
203	0.08026430972
204	0.0802186716
205	0.08017867587
206	0.08016230067
207	0.08013082409
208	0.0801126734
209	0.08001683735
210	0.0800045471
211	0.07998330991
212	0.07994526305
213	0.0799250051
214	0.07990022807
215	0.07986950434
216	0.07985935431
217	0.07981430986
218	0.0797822451
219	0.07976567374
220	0.07974547579
221	0.07972271305
222	0.07964686333
223	0.0795842144
224	0.07958260115
225	0.079565529
226	0.0795145689
227	0.07948732516
228	0.07947221926
229	0.0794532176
230	0.07940281579
231	0.07938659475
232	0.07935483001
233	0.07933136997
234	0.07928200004
235	0.07924309961
236	0.07922605465
237	0.07920450287
238	0.0791914117
239	0.07912838993
240	0.07910091805
241	0.07908422408
242	0.07903786947
243	0.07902489799
